,CPU_Name,Price,BenchMarl,cpuValue,TDP,powerPerf
457,Intel Core i7-8086K @ 4.00GHz,40938.93,14550,26.5,95,153.16
459,Intel Core i5-10600K @ 4.10GHz,15881.1729,14534,68.24,125,116.27
460,Intel Core i3-12100,9097.54,14503,118.88,60,241.72
461,Intel Core i7-9700KF @ 3.60GHz,31691.5043,14499,34.12,95,152.62
462,Intel Core i3-12100F,8052.8143,14490,134.18,58,249.83
463,Intel Xeon Silver 4215 @ 2.50GHz,64872.1715,14439,16.6,85,169.87
466,Intel Xeon E-2286G @ 4.00GHz,41107.4582,14384,26.09,95,151.41
467,Intel Xeon W-2235 @ 3.80GHz,43473.5643,14332,24.58,130,110.25
468,Intel Xeon E-2236 @ 3.40GHz,24407.5067,14307,43.71,80,178.84
469,Intel Core i7-6900K @ 3.20GHz,28705.7215,14291,37.13,140,102.08
470,Intel Xeon Silver 4210 @ 2.20GHz,33481.93,14285,31.82,85,168.06
471,Intel Xeon Gold 6128 @ 3.40GHz,128185.83,14273,8.3,115,124.11
472,Intel Xeon E5-4660 v3 @ 2.10GHz,357936,14256,2.97,120,118.8
474,Intel Xeon E5-2697 v2 @ 2.70GHz,12117.625,14218,87.49,130,109.37
476,Intel Xeon E5-1680 v4 @ 3.40GHz,351895.83,14120,2.99,140,100.86
477,Intel Xeon E5-2673 v3 @ 2.40GHz,52199,14112,20.16,110,128.29
478,Intel Xeon W-2135 @ 3.70GHz,75144.189,14109,14,140,100.78
479,Intel Xeon E-2374G @ 3.70GHz,26621.49,14086,39.46,80,176.07
480,AMD Ryzen 5 2600X,11512.8623,14053,91.02,95,147.92
481,Intel Xeon E-2246G @ 3.60GHz,23191.27,14050,45.18,80,175.62
482,Intel Core i9-9880H @ 2.30GHz,41460.92,13979,25.14,45,310.64
484,AMD EPYC 3251,23489.55,13965,44.33,50,279.3
485,Intel Core i9-9900T @ 2.10GHz,32736.23,13947,31.77,35,398.49
486,Intel Core i5-10600 @ 3.30GHz,16404.6543,13928,63.31,65,214.27
487,Intel Xeon E5-2670 v3 @ 2.30GHz,4771.7343,13917,217.48,120,115.97
488,Intel Xeon E-2186G @ 3.80GHz,40475.1046,13909,25.63,95,146.41
489,Intel Core i7-8700K @ 3.70GHz,23042.13,13850,44.82,95,145.79
490,Intel Xeon E5-2667 v4 @ 3.20GHz,26658.775,13846,38.73,135,102.57
492,Intel Core i5-11500T @ 1.50GHz,14317.44,13820,71.98,35,394.85
493,Intel Xeon W-1250 @ 3.30GHz,23294.9223,13799,44.17,80,172.49
496,Intel Xeon E-2176G @ 3.70GHz,33407.36,13643,30.45,80,170.54
497,Intel Xeon W-1270TE @ 2.00GHz,27367.19,13553,36.93,35,387.24
498,Intel Xeon E5-2695 v2 @ 2.40GHz,13646.31,13521,73.88,115,117.57
499,Intel Xeon E5-2650 v4 @ 2.20GHz,89483.2543,13489,11.24,105,128.47
501,Intel Xeon E5-2690 v2 @ 3.00GHz,11036.36,13481,91.08,130,103.7
502,Intel Core i7-9700F @ 3.00GHz,25427.6243,13462,39.48,65,207.11
504,Intel Core i7-9700 @ 3.00GHz,24074.9245,13385,41.46,65,205.93
505,Intel Xeon E-2276G @ 3.80GHz,33027.053,13371,30.19,80,167.13
506,Intel Xeon E-2136 @ 3.30GHz,24010.7943,13356,41.48,80,166.96
507,Intel Xeon E-2146G @ 3.50GHz,27586.4258,13351,36.09,80,166.89
508,Intel Xeon E5-1660 v4 @ 3.20GHz,111407.58,13340,8.93,140,95.29
509,AMD Ryzen 5 3500X,13791.7215,13319,72.01,65,204.91
511,Intel Xeon E5-1680 v3 @ 3.20GHz,43995.5543,13214,22.4,140,94.38
512,AMD Ryzen 5 2600,9312.3016,13195,105.66,65,202.99
514,Intel Xeon E-2334 @ 3.40GHz,22817.6743,13189,43.1,65,202.9
515,Intel Xeon Silver 4114 @ 2.20GHz,57791.75,13169,16.99,85,154.93
516,Intel Xeon E5-2660 v3 @ 2.60GHz,10643.3761,13146,92.1,105,125.2
518,Intel Core i7-10700T @ 2.00GHz,33406.6143,13119,29.28,35,374.82
519,Intel Xeon D-2143IT @ 2.20GHz,42206.62,13107,23.16,65,201.64
520,Intel Core i5-11400T @ 1.30GHz,13571.74,13078,71.86,35,373.67
521,Intel Core i5-10500 @ 3.10GHz,15650.7516,13056,62.21,65,200.86
522,Intel Core i7-8700 @ 3.20GHz,19462.0243,13046,49.99,65,200.71
523,Intel Xeon E5-4627 v4 @ 2.60GHz,74569.2543,12969,12.97,135,96.07
524,Intel Xeon W-10855M @ 2.80GHz,33556.5,12955,28.79,45,287.89
526,AMD Ryzen 5 1600X,12636.6322,12943,76.38,95,136.25
528,Intel Core i7-7800X @ 3.50GHz,14913.2543,12864,64.33,140,91.89
530,Intel Xeon E5-2618L v4 @ 2.20GHz,52228.0823,12816,18.3,75,170.88
531,Intel Core i3-12100T,9097.54,12767,104.65,35,364.77
532,AMD Ryzen 3 3300X,20133.1543,12746,47.21,65,196.1
533,Intel Core i7-5960X @ 3.00GHz,16078.0377,12719,58.99,140,90.85
534,Intel Xeon E5-2680 v2 @ 2.80GHz,10404.7521,12530,89.8,115,108.96
536,Intel Xeon E5-4657L v2 @ 2.40GHz,56016.2383,12495,16.63,115,108.66
537,Intel Core i5-10400F @ 2.90GHz,9320.5043,12439,99.52,65,191.37
538,Intel Xeon W-2133 @ 3.60GHz,46009.69,12438,20.16,140,88.84
540,Intel Core i7-11375H @ 3.30GHz,35942.74,12383,25.69,35,353.79
541,Intel Xeon E5-1660 v3 @ 3.00GHz,29749.7015,12360,30.98,140,88.28
543,Intel Xeon E5-2667 v3 @ 3.20GHz,30051.71,12354,30.66,135,91.51
544,Intel Core i7-1265U,31766.82,12334,28.95,15,822.28
545,Intel Core i5-10400 @ 2.90GHz,11184.7543,12320,82.14,65,189.53
546,AMD Ryzen 5 1600,11917.7774,12314,77.05,65,189.45
547,Intel Core i7-8700B @ 3.20GHz,22594.71,12239,40.39,65,188.3
548,Intel Core i7-9700E @ 2.60GHz,24086.11,12239,37.89,65,188.3
550,Intel Xeon E5-2667 v2 @ 3.30GHz,13046.0215,12222,69.86,130,94.02
552,Intel Xeon D-2141I @ 2.20GHz,41386.35,12177,21.94,65,187.33
553,Intel Core i7-10850H @ 2.70GHz,29455.15,12124,30.69,45,269.42
555,Intel Core i7-11370H @ 3.30GHz,31766.82,12098,28.4,35,345.66
556,Intel Xeon E5-2687W v2 @ 3.40GHz,32228.4083,12083,27.96,150,80.56
558,Intel Xeon E-2278GEL @ 2.00GHz,36837.58,12024,24.34,35,343.53
560,Intel Xeon E5-2640 v4 @ 2.40GHz,34376.77,11950,25.92,90,132.78
562,Intel Xeon E5-2650 v3 @ 2.30GHz,8043.8659,11931,110.61,105,113.63
565,Intel Xeon E5-2650L v3 @ 1.80GHz,101788.05,11820,8.66,65,181.85
566,Intel Xeon E-2276M @ 2.80GHz,33556.5,11818,26.26,45,262.62
568,Intel Xeon D-2146NT @ 2.30GHz,47799.37,11736,18.31,80,146.69
569,Intel Xeon E5-2670 v2 @ 2.50GHz,5891.03,11718,148.33,115,101.9
570,AMD Ryzen 3 3100,10286.9315,11660,84.52,65,179.38
571,Intel Xeon D-1577 @ 1.30GHz,87694.32,11645,9.9,45,258.78
572,Intel Core i5-10500H @ 2.50GHz,18642.5,11604,46.41,45,257.86
573,Intel Xeon E5-2648L v4 @ 1.80GHz,96844.059,11547,8.89,75,153.96
574,Intel Xeon E5-1650 v4 @ 3.60GHz,33832.409,11534,25.42,140,82.38
576,Intel Core i7-9850H @ 2.60GHz,97370.5232,11483,8.79,45,255.18
578,Intel Xeon E5-2650L v4 @ 1.70GHz,52199,11436,16.34,65,175.93
579,Intel Core i7-9750HF @ 2.60GHz,29455.15,11391,28.84,45,253.14
580,Intel Core i5-10600T @ 2.40GHz,15883.41,11376,53.41,35,325.02
581,Intel Xeon E5-2630 v4 @ 2.20GHz,27960.0215,11373,30.33,85,133.8
583,Intel Xeon E5-4627 v3 @ 2.60GHz,178968,11344,4.73,135,84.03
586,Intel Core i7-6850K @ 3.60GHz,24382.1529,11295,34.54,140,80.68
589,Intel Core i7-9750H @ 2.60GHz,71587.2,11207,11.67,45,249.03
590,Intel Xeon E5-2640 v3 @ 2.60GHz,4399.63,11205,189.91,90,124.5
591,Intel Xeon E5-2643 v4 @ 3.40GHz,28597.595,11152,29.08,135,82.61
592,Intel Xeon Silver 4208 @ 2.10GHz,35943.4857,11137,23.11,85,131.02
593,Intel Core i5-1235U,23042.13,11119,35.98,15,741.27
594,Intel Xeon E-2226G @ 3.40GHz,24350.0878,11119,34.05,80,138.99
595,Intel Core i7-1185G7E @ 2.80GHz,32139.67,11114,25.79,15,740.95
597,Intel Xeon E5-2628L v4 @ 1.90GHz,101713.48,11079,8.12,75,147.72
598,Intel Core i5-11300H @ 3.10GHz,23042.13,11048,35.75,35,315.65
599,Intel Core i7-1195G7 @ 2.90GHz,31766.82,11019,25.87,28,393.52
600,Intel Core i7-1185G7 @ 3.00GHz,31766.82,10948,25.7,15,729.84
601,Intel Xeon E-2176M @ 2.70GHz,33556.5,10946,24.32,45,243.25
603,Intel Xeon E-2186M @ 2.90GHz,46457.11,10904,17.5,45,242.31
604,Intel Xeon E5-2470 v2 @ 2.40GHz,17706.6465,10902,45.91,95,114.76
605,Intel Core i7-11390H @ 3.40GHz,31766.82,10897,25.58,35,311.35
606,Intel Xeon E5-2630L v4 @ 1.80GHz,7307.86,10864,110.86,55,197.53
608,Intel Xeon W-2225 @ 4.10GHz,38254.41,10844,21.14,105,103.28
609,Intel Core i5-9600KF @ 3.70GHz,11856.63,10838,68.16,95,114.08
610,Intel Xeon E5-4650 v3 @ 2.10GHz,286199.66,10838,2.82,105,103.22
612,Intel Core i7-9700TE @ 1.80GHz,24086.11,10826,33.52,35,309.32
613,Intel Core i9-8950HK @ 2.90GHz,43474.31,10803,18.53,45,240.06
614,Intel Core i5-9600K @ 3.70GHz,17344.982,10793,46.4,95,113.61
616,Intel Xeon E-2126G @ 3.30GHz,23884.0253,10747,33.55,80,134.34
617,Intel Core i7-9700T @ 2.00GHz,24086.11,10736,33.24,35,306.74
618,Intel Core i5-11320H @ 3.20GHz,23042.13,10732,34.73,35,306.64
619,Intel Core i7-6800K @ 3.40GHz,19387.4543,10681,41.08,140,76.29
620,Intel Core i7-1165G7 @ 2.80GHz,31766.82,10595,24.87,15,706.33
621,Intel Core i5-1155G7 @ 2.50GHz,23042.13,10561,34.18,28,377.2
622,Intel Xeon E5-4620 v3 @ 2.00GHz,58067.659,10525,13.52,105,100.24
624,Intel Xeon E5-2618L v3 @ 2.30GHz,76803.3715,10464,10.16,75,139.52
625,Intel Core i5-1145G7E @ 2.60GHz,23265.84,10454,33.51,15,696.93
626,Intel Core i7-8700T @ 2.40GHz,25579.0014,10431,30.41,35,298.04
629,Intel Xeon E5-2630 v3 @ 2.40GHz,5592.0043,10392,138.58,85,122.26
630,Intel Xeon E5-2643 v3 @ 3.40GHz,186421.2715,10391,4.16,135,76.97
631,Intel Xeon E5-2660 v2 @ 2.20GHz,5891.03,10382,131.41,95,109.28
632,Intel Xeon E5-1650 v3 @ 3.50GHz,61143.6715,10373,12.65,140,74.1
634,Intel Core i5-9600 @ 3.10GHz,19130.9335,10369,40.42,65,159.53
635,Intel Core i5-10500T @ 2.30GHz,14317.44,10365,53.98,35,296.14
636,Intel Xeon Silver 4109T @ 2.00GHz,45319.9175,10348,17.03,70,147.83
637,Intel Core i7-8850H @ 2.60GHz,29455.15,10333,26.16,45,229.62
638,Intel Core i5-9500F @ 3.00GHz,13571.74,10330,56.76,65,158.92
640,Intel Core i3-10325 @ 3.90GHz,11483.78,10308,66.94,65,158.59
641,Intel Core i7-5930K @ 3.50GHz,23858.6715,10304,32.21,140,73.6
643,Intel Xeon E5-2658 v2 @ 2.40GHz,268750.28,10274,2.85,95,108.15
645,Intel Xeon Silver 4110 @ 2.10GHz,39522.1,10246,19.33,85,120.54
646,Intel Xeon E5-1660 v2 @ 3.70GHz,134147.7015,10223,5.68,130,78.64
647,Intel Core i5-8600K @ 3.60GHz,17597.7743,10195,43.2,95,107.32
650,Intel Core i7-10710U @ 1.10GHz,48096.9043,10126,15.7,15,675.07
651,Intel Core i3-10320 @ 3.80GHz,9988.6515,10115,75.51,65,155.61
652,Intel Core i5-1135G7 @ 2.40GHz,23042.13,10100,32.68,15,673.3
653,Intel Core i7-1068NG7 @ 2.30GHz,31766.82,10093,23.69,28,360.46
654,Intel Core i7-8750H @ 2.20GHz,29455.15,10085,25.53,45,224.12
655,Intel Core i5-10400T @ 2.00GHz,13571.74,10052,55.23,35,287.2
657,Intel Xeon W-2125 @ 4.00GHz,74491.7015,10039,10.05,120,83.66
659,Intel Xeon E5-2650 v2 @ 2.60GHz,5219.9,9995,142.78,95,105.21
660,Intel Core i5-10500TE @ 2.30GHz,14541.15,9960,51.08,35,284.58
663,Intel Core i7-4960X @ 3.60GHz,93212.5,9906,7.92,130,76.2
664,Intel Xeon E-2234 @ 3.60GHz,21997.4043,9903,33.57,71,139.48
665,Intel Core i7-7740X @ 4.30GHz,16852.0743,9864,43.65,112,88.07
666,Intel Core i5-8600 @ 3.10GHz,20556.7119,9849,35.73,65,151.52
667,Intel Xeon E5-2648L v3 @ 1.80GHz,114119.6909,9847,6.43,75,131.29
668,Intel Xeon E5-2690 @ 2.90GHz,10096.778,9832,72.61,135,72.83
669,Intel Xeon E-2244G @ 3.80GHz,30797.41,9826,23.79,71,138.39
670,Intel Core i7-5820K @ 3.30GHz,19042.1952,9814,38.43,140,70.1
671,Intel Xeon E5-2687W @ 3.10GHz,14317.44,9796,51.02,150,65.31
672,Intel Xeon E5-2689 @ 2.60GHz,13627.6675,9767,53.45,115,84.93
673,Intel Core i5-1130G7 @ 1.10GHz,23042.13,9756,31.57,15,650.39
674,Intel Core i5-9500 @ 3.00GHz,22191.2863,9698,32.59,65,149.2
675,Intel Core i3-10305 @ 3.80GHz,11930.4543,9689,60.56,65,149.06
677,Intel Xeon E-2274G @ 4.00GHz,24906.38,9660,28.92,83,116.39
678,Intel Core i7-7700K @ 4.20GHz,26057.7408,9658,27.64,95,101.66
681,Intel Core i5-1038NG7 @ 2.00GHz,23862.4,9626,30.08,28,343.8
682,Intel Xeon E-2174G @ 3.80GHz,26098.7543,9596,27.42,71,135.15
683,Intel Core i5-8500 @ 3.00GHz,14168.3,9576,50.4,65,147.32
684,Intel Core i5-9400F @ 2.90GHz,9693.3543,9544,73.42,65,146.84
686,Intel Core i5-9400 @ 2.90GHz,10439.0543,9478,67.71,65,145.82
687,Intel Core i5-8500B @ 3.00GHz,14317.44,9429,49.11,65,145.06
688,Intel Xeon Gold 5222 @ 3.80GHz,110089.1824,9428,6.39,105,89.79
691,Intel Xeon E5-4655 v3 @ 2.90GHz,344215.12,9377,2.03,135,69.46
692,Intel Xeon E5-2680 @ 2.70GHz,6372.0065,9361,109.55,130,72.01
693,Intel Core i7-4930K @ 3.40GHz,13038.5645,9360,53.53,130,72
694,AMD Ryzen 5 3400G,17001.96,9331,40.93,65,143.56
695,Intel Xeon E5-1650 v2 @ 3.50GHz,17749.1514,9323,39.17,130,71.71
696,Intel Xeon E-2144G @ 3.60GHz,22458.2469,9322,30.95,71,131.29
697,Intel Xeon E5-4627 v2 @ 3.30GHz,37206.7015,9320,18.68,130,71.69
699,Intel Core i3-10300 @ 3.70GHz,10364.4843,9284,66.79,65,142.82
700,Intel Xeon E3-1285 v6 @ 4.10GHz,40633.9387,9276,17.02,79,117.41
701,Intel Xeon Silver 4108 @ 1.80GHz,36535.5715,9262,18.9,85,108.97
703,Intel Xeon E3-1275 v6 @ 3.80GHz,26368.6977,9229,26.1,73,126.43
705,Intel Core i5-8400 @ 2.80GHz,17151.1,9222,40.1,65,141.88
707,Intel Core i5-9500TE @ 2.20GHz,14317.44,9212,47.98,35,263.21
708,Intel Xeon E3-1280 v6 @ 3.90GHz,44158.8626,9166,15.48,72,127.3
709,Intel Xeon E5-2620 v4 @ 2.10GHz,18940.0343,9152,36.03,85,107.68
712,Intel Xeon E5-2629 v3 @ 2.40GHz,37276.0516,9139,18.28,85,107.52
713,Intel Core i7-9850HL @ 1.90GHz,29455.15,9112,23.07,25,364.49
714,Intel Xeon D-1715TER @ 2.40GHz,21252.45,9104,31.94,50,182.08
715,AMD Ryzen 5 1500X,8975.2452,9083,75.47,65,139.75
716,Intel Xeon E5-2643 v2 @ 3.50GHz,29749.7015,9083,22.77,130,69.87
717,Intel Xeon D-1548 @ 2.00GHz,41386.35,9075,16.35,45,201.66
721,Intel Xeon E5-2630L v3 @ 1.80GHz,5891.03,8978,113.64,55,163.23
722,Intel Core i7-6700K @ 4.00GHz,17151.1,8967,38.99,95,94.39
723,Intel Core i3-10105 @ 3.70GHz,7978.99,8928,83.44,65,137.36
724,Intel Core i5-10400H @ 2.60GHz,18642.5,8916,35.66,45,198.13
725,Intel Xeon E5-2670 @ 2.60GHz,5294.47,8902,125.37,115,77.41
727,Intel Xeon E3-1270 v6 @ 3.80GHz,23617.0647,8862,27.98,72,123.08
728,Intel Core i3-10100F @ 3.60GHz,5964.8543,8854,110.69,65,136.22
729,Intel Xeon E3-1240 v6 @ 3.70GHz,27922.7365,8853,23.64,72,122.95
730,Intel Core i3-10100 @ 3.60GHz,8425.6643,8800,77.88,65,135.39
731,Intel Xeon Gold 5122 @ 3.60GHz,67435.8881,8771,9.7,105,83.53
733,Intel Core i7-8559U @ 2.70GHz,46009.69,8745,14.17,28,312.32
734,Intel Xeon E-2134 @ 3.50GHz,22189.7949,8741,29.37,71,123.11
735,AMD Ryzen 5 2400G,15957.98,8729,40.79,65,134.29
736,Intel Core i5-10300H @ 2.50GHz,18642.5,8692,34.77,45,193.15
737,Intel Xeon W-2223 @ 3.60GHz,21624.5543,8686,29.95,120,72.39
739,Intel Core i7-1065G7 @ 1.30GHz,31766.82,8668,20.35,15,577.88
740,Intel Xeon E3-1245 v6 @ 3.70GHz,37009.091,8659,17.45,73,118.62
741,Intel Core i7-7700 @ 3.60GHz,16404.6543,8638,39.27,65,132.9
742,Intel Xeon E5-4650 @ 2.70GHz,5830.6283,8630,110.38,130,66.39
743,Intel Xeon E5-2648L v2 @ 1.90GHz,70468.65,8611,9.11,70,123.01
744,Intel Core i7-3960X @ 3.30GHz,11930.4543,8596,53.73,130,66.12
746,Intel Core i7-8569U @ 2.80GHz,32139.67,8523,19.78,28,304.4
747,Intel Xeon W-2123 @ 3.60GHz,31849.5927,8489,19.87,120,70.74
749,Intel Xeon E5-4650L @ 2.60GHz,4473.4543,8472,141.22,115,73.67
751,Intel Xeon E-2314 @ 2.80GHz,14541.15,8422,43.19,65,129.57
752,Intel Xeon E3-1275 v5 @ 3.60GHz,33112.0628,8421,18.97,80,105.27
753,Intel Xeon E5-1660 @ 3.30GHz,19924.3583,8417,31.5,130,64.75
754,Intel Core i5-10200H @ 2.40GHz,18642.5,8414,33.65,45,186.97
755,Intel Xeon E5-2665 @ 2.40GHz,6562.16,8411,95.58,115,73.14
756,Intel Xeon E3-1585 v5 @ 3.50GHz,41460.92,8408,15.12,65,129.35
757,Intel Xeon E3-1230 v6 @ 3.50GHz,44401.9608,8408,14.12,72,116.77
758,Intel Core i5-9600T @ 2.30GHz,15883.41,8393,39.4,35,239.79
760,Intel Core i5-1035G7 @ 1.20GHz,23862.4,8388,26.21,15,559.21
762,Intel Core i7-3970X @ 3.50GHz,13944.59,8373,44.78,150,55.82
763,Intel Core i7-10810U @ 1.10GHz,33034.51,8353,18.86,15,556.88
764,Intel Xeon E3-1280 v5 @ 3.70GHz,29455.15,8320,21.06,80,104
765,AMD Opteron 6386 SE,10073.6613,8320,61.59,140,59.43
766,Intel Xeon E3-1270 v5 @ 3.60GHz,68007.84,8317,9.12,80,103.96
769,Intel Core i5-9400H @ 2.50GHz,18642.5,8261,33.04,45,183.57
770,Intel Core i5-9500T @ 2.20GHz,14317.44,8256,43,35,235.88
771,Intel Xeon E3-1240 v5 @ 3.50GHz,24235.25,8254,25.4,80,103.18
772,Intel Core i5-1035G4 @ 1.10GHz,23042.13,8251,26.7,15,550.09
773,Intel Core i7-3930K @ 3.20GHz,18642.5,8244,32.98,130,63.42
774,Intel Xeon E5-2470 @ 2.30GHz,10439.8,8240,58.85,95,86.73
775,Intel Core i3-10100E @ 3.20GHz,9321.25,8229,65.83,65,126.59
776,Intel Core i5-8600T @ 2.30GHz,14913.2543,8227,41.14,35,235.06
777,Intel Core i7-8557U @ 1.70GHz,32139.67,8225,19.08,15,548.35
779,Intel Xeon E3-1535M v6 @ 3.10GHz,46457.11,8184,13.14,35,233.81
780,Intel Xeon E-2276ME @ 2.80GHz,33556.5,8167,18.15,45,181.5
781,Intel Core i3-10305T @ 3.00GHz,10663.51,8136,56.9,35,232.46
783,Intel Core i5-8259U @ 2.30GHz,38775.6543,8131,15.64,28,290.39
784,Intel Xeon E5-1650 @ 3.20GHz,8351.84,8113,72.44,130,62.41
785,Intel Xeon E5-2660 @ 2.20GHz,4826.9161,8104,125.19,95,85.3
786,Intel Core i7-6700 @ 3.40GHz,19015.35,8078,31.68,65,124.27
787,Intel Xeon E3-1245 v5 @ 3.50GHz,10439.0543,8073,57.67,80,100.91
788,Intel Core i7-4790K @ 4.00GHz,15426.2959,8061,38.97,88,91.6
789,Intel Core i5-8269U @ 2.60GHz,23862.4,8055,25.17,28,287.69
790,Intel Core i5-8400H @ 2.50GHz,18642.5,8037,32.15,45,178.61
791,AMD Opteron 6348,127415.5219,8030,4.7,115,69.83
792,Intel Core i5-8279U @ 2.40GHz,23862.4,8028,25.09,28,286.73
793,Intel Xeon E3-1285L v4 @ 3.40GHz,91721.1,8022,6.52,65,123.42
794,Intel Xeon E3-1585L v5 @ 3.00GHz,33183.65,8021,18.02,45,178.24
795,Intel Core i3-10300T @ 3.00GHz,12996.0596,7997,45.89,35,228.49
798,Intel Core i7-8705G @ 3.10GHz,114473.1527,7947,5.18,65,122.26
801,Intel Xeon E5-2620 v3 @ 2.40GHz,4119.2468,7906,143.12,85,93.01
802,Intel Xeon E3-1230 v5 @ 3.40GHz,68306.12,7880,8.6,80,98.5
803,Intel Core i5-8260U @ 1.60GHz,32810.0543,7854,17.85,15,523.57
804,Intel Core i3-10105T @ 3.00GHz,9097.54,7850,64.34,35,224.28
807,Intel Core i5-9400T @ 1.80GHz,13571.74,7819,42.96,35,223.39
808,Intel Core i7-5775C @ 3.30GHz,13046.0215,7801,44.59,65,120.02
809,Intel Core i5-9300H @ 2.40GHz,18642.5,7793,31.17,45,173.17
810,AMD Ryzen 5 1400,8176.6005,7783,70.98,65,119.74
811,Intel Xeon E3-1260L v5 @ 2.90GHz,19291.259,7757,29.98,45,172.37
812,Intel Xeon E5-2640 v2 @ 2.00GHz,4922.3657,7741,117.27,95,81.48
813,Intel Core i5-1035G1 @ 1.00GHz,22147.29,7737,26.05,15,515.8
814,Intel Xeon D-2123IT @ 2.20GHz,15883.41,7731,36.3,60,128.86
818,Intel Core i5-8500T @ 2.10GHz,18458.3121,7699,31.11,35,219.98
820,Intel Core i3-9350K @ 4.00GHz,21865.4154,7694,26.24,91,84.55
821,Intel Core i7-7820HK @ 2.90GHz,28187.46,7682,20.32,45,170.72
823,Intel Core i5-8257U @ 1.40GHz,23862.4,7680,24,15,512.02
824,Intel Core i5-9300HF @ 2.40GHz,18642.5,7678,30.71,45,170.62
828,Intel Xeon E3-1575M v5 @ 3.00GHz,90005.99,7629,6.32,45,169.54
831,Intel Xeon E5-2623 v4 @ 2.60GHz,6263.88,7582,90.26,85,89.2
833,AMD Ryzen 3 2300X,13280.1713,7566,42.48,65,116.4
834,Intel Core i7-7700T @ 2.90GHz,29082.3,7561,19.39,35,216.04
835,Intel Xeon E-2224G @ 3.50GHz,19951.9492,7545,28.2,71,106.26
836,Intel Core i5-8300H @ 2.30GHz,18642.5,7542,30.17,45,167.59
838,Intel Xeon E3-1535M v5 @ 2.90GHz,46457.11,7523,12.07,45,167.17
839,Intel Xeon E-2124G @ 3.40GHz,17150.3543,7518,32.69,71,105.89
840,Intel Xeon E5-2667 @ 2.90GHz,7172.8883,7501,77.98,130,57.7
841,Intel Xeon E5-2637 v3 @ 3.50GHz,8351.84,7485,66.83,135,55.44
842,Intel Xeon E5-2650L v2 @ 1.70GHz,5891.03,7475,94.62,70,106.79
843,Intel Xeon E5-2630 v2 @ 2.60GHz,5145.33,7470,108.26,80,93.37
844,Intel Xeon E5-1630 v3 @ 3.70GHz,100371.22,7456,5.54,140,53.26
845,Intel Core i7-7820EQ @ 3.00GHz,28187.46,7453,19.72,45,165.63
846,Intel Core i7-7920HQ @ 3.10GHz,42355.76,7449,13.11,45,165.53
847,Intel Xeon D-1531 @ 2.20GHz,25950.36,7447,21.4,45,165.48
848,Intel Core i5-8400T @ 1.70GHz,17884.8688,7447,31.05,35,212.77
849,Intel Xeon E5-1620 v4 @ 3.50GHz,16353.201,7437,33.91,140,53.12
850,Intel Xeon E3-1271 v3 @ 3.60GHz,11184.7543,7432,49.55,80,92.91
851,Intel Xeon E3-1286 v3 @ 3.70GHz,62564.23,7418,8.84,84,88.31
852,Intel Xeon E5-2450 @ 2.10GHz,4772.48,7410,115.78,95,78
853,Intel Xeon E3-1281 v3 @ 3.70GHz,40733.8625,7406,13.56,82,90.31
854,Intel Core i3-10100T @ 3.00GHz,9097.54,7405,60.7,35,211.57
855,Intel Core i7-6920HQ @ 2.90GHz,42355.76,7378,12.99,45,163.96
858,Intel Core i3-9320 @ 3.70GHz,16254.0229,7358,33.76,62,118.68
860,Intel Xeon E3-1276 v3 @ 3.60GHz,72929.46,7345,7.51,84,87.45
861,Intel Xeon E5-2650 @ 2.00GHz,3653.93,7335,149.68,95,77.21
862,Intel Core i3-9350KF @ 4.00GHz,15462.8352,7318,35.29,91,80.42
866,Intel Core i3-9300 @ 3.70GHz,14540.4043,7279,37.33,62,117.4
868,Intel Core i7-6700T @ 2.80GHz,22296.43,7271,24.32,35,207.74
869,Intel Xeon E3-1280 v3 @ 3.60GHz,18567.93,7256,29.14,82,88.49
870,Intel Xeon E3-1270 v3 @ 3.50GHz,9618.7843,7245,56.17,80,90.56
871,Intel Core i7-4790 @ 3.60GHz,14914,7235,36.18,84,86.13
872,Intel Xeon E5-4610 v3 @ 1.70GHz,90900.83,7229,5.93,105,68.85
873,Intel Xeon E-2224 @ 3.40GHz,18655.1769,7223,28.87,71,101.73
874,Intel Xeon E3-1246 v3 @ 3.50GHz,61594.82,7218,8.74,84,85.93
875,Intel Core i7-7820HQ @ 2.90GHz,28187.46,7209,19.07,45,160.19
876,Intel Xeon W3690 @ 3.47GHz,33570.6683,7208,16.01,130,55.45
877,AMD Ryzen 3 3200G,10811.9043,7188,49.57,65,110.58
879,Intel Xeon D-1537 @ 1.70GHz,42579.47,7176,12.57,35,205.03
880,Intel Xeon D-1539 @ 1.60GHz,36241.02,7175,14.76,35,204.99
881,Intel Core i7-6770HQ @ 2.60GHz,46158.83,7145,11.54,45,158.78
883,Intel Xeon E3-1275 v3 @ 3.50GHz,14913.2543,7143,35.72,95,75.19
884,Intel Core i7-990X @ 3.47GHz,111869.1683,7137,4.76,130,54.9
885,Intel Core i7-4770K @ 3.50GHz,24607.3543,7129,21.6,84,84.87
886,Intel Xeon D-1557 @ 1.50GHz,51751.58,7118,10.26,45,158.18
893,Intel Core i7-4771 @ 3.50GHz,14679.8502,7074,35.93,84,84.21
896,Intel Xeon E3-1241 v3 @ 3.50GHz,5964.8543,7070,88.39,80,88.38
897,Intel Xeon E3-1240 v3 @ 3.40GHz,4837.3559,7065,108.91,80,88.32
898,Intel Core i7-10610U @ 1.80GHz,30499.13,7062,17.27,15,470.77
